Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported,Latitude,Longitude
Southeast,TAUNTON,Taunton,TAUNW2,2012,2015,48,0,1.0,41.955555555555556,71.13361111111112
Southeast,TAUNTON,Taunton,TAUNWS,1874,2015,1704,136,0.92018779342723,41.955555555555556,71.13361111111112
Connecticut River,MILLERS,Baldwinville,TEM403,1994,2015,264,28,0.8939393939393939,41.955555555555556,71.13361111111112
Central,MILLERS,Templeton,TEM405,1907,2015,1284,101,0.9213395638629284,41.955555555555556,71.13361111111112
Cape Cod and Islands,ISLANDS,Vineyard Haven,TIS906,1929,2019,1080,73,0.9324074074074074,41.446555555555555,70.62022222222221
Northeast,IPSWICH,Topsfield,TOP607,1997,2015,216,21,0.9027777777777778,41.446555555555555,70.62022222222221
Central,MILLERS,Athol,TULCOE,1984,2015,384,34,0.9114583333333334,42.638666666666666,72.22472222222223
Central,BLACKSTONE,Uxbridge,UXB515,1931,2015,1020,121,0.8813725490196078,42.07805555555556,71.60688888888889
Northeast,NORTH COASTAL,Wakefield,WAK706,1937,2019,996,96,0.9036144578313253,42.49647222222222,71.073
Northeast,CHARLES,Waltham,WAL709,1880,2015,1632,114,0.9301470588235294,42.49647222222222,71.073
Southeast,BOSTON HARBOR,Walpole,WAL731,1987,2015,348,6,0.9827586206896551,42.16061111111111,71.24644444444445
Connecticut River,CHICOPEE,Ware Center,WAR315,1919,2015,1164,39,0.9664948453608248,42.16061111111111,71.24644444444445
Central,CHICOPEE,Warren,WAR427,1911,2015,1236,124,0.8996763754045307,42.16061111111111,71.24644444444445
Southeast,BUZZARDS BAY,Onset,WAR815,1917,2015,1188,195,0.8358585858585859,42.16061111111111,71.24644444444445
Connecticut River,CHICOPEE,Ware,WARNWS,1992,2015,288,5,0.9826388888888888,42.262166666666666,72.24869444444444
Western,,West Otis,WES101,2013,2015,36,8,0.7777777777777778,42.181888888888885,73.22358333333334
Connecticut River,WESTFIELD,Westfield,WES218,1912,2015,1248,121,0.9030448717948718,42.181888888888885,73.22358333333334
Connecticut River,WESTFIELD,Westfield,WES219,1918,2015,1176,119,0.8988095238095238,42.09305555555556,72.80347222222223
Connecticut River,WESTFIELD,West Springfield,WES221,1965,2019,660,22,0.9666666666666667,,
Northeast,MERRIMACK,Westford,WES507,2001,2019,228,30,0.868421052631579,36.61011111111111,71.42080555555556
Northeast,CONCORD,Westboro,WES508,1982,2015,408,20,0.9509803921568627,36.61011111111111,71.42080555555556
Central,NASHUA,West Boylston,WES509,1944,2019,912,89,0.9024122807017544,42.35475,71.80213888888889
Central,BLACKSTONE,Uxbridge,WESCOE,1984,2015,384,11,0.9713541666666666,42.35475,71.80213888888889
Northeast,BOSTON HARBOR,Weymouth,WEY738,1972,2019,576,124,0.7847222222222222,42.199555555555555,70.95202777777779
Connecticut River,FARMINGTON,Granville,WGRNWS,1992,1996,60,0,1.0,42.199555555555555,70.95202777777779
Western,HUDSON,Williamstown,WIL101,1999,2015,204,4,0.9803921568627451,42.199555555555555,70.95202777777779
