Station,Year,Month,Precipitation
BOSNWS,1917,2,0.96
BOSNWS,1917,3,1.98
BOSNWS,1917,4,3.72
BOSNWS,1917,5,3.39
BOSNWS,1917,6,3.27
BOSNWS,1917,7,5.47
BOSNWS,1917,8,4.49
BOSNWS,1917,9,3.33
BOSNWS,1917,10,4.41
BOSNWS,1917,11,4.29
BOSNWS,1917,12,1.53
BOSNWS,1918,1,4.42
BOSNWS,1918,2,3.9
BOSNWS,1918,3,3.95
BOSNWS,1918,4,2.49
BOSNWS,1918,5,2.18
BOSNWS,1918,6,3.994
BOSNWS,1918,7,5.05
BOSNWS,1918,8,3.17
BOSNWS,1918,9,4.78
BOSNWS,1918,10,2.94
BOSNWS,1918,11,1.78
BOSNWS,1918,12,7.74
BOSNWS,1919,1,6.25
BOSNWS,1919,2,4.92
BOSNWS,1919,3,6.1
BOSNWS,1919,4,2.55
BOSNWS,1919,5,2.99
BOSNWS,1919,6,3.98
BOSNWS,1919,7,3.12
BOSNWS,1919,8,2.51
BOSNWS,1919,9,2.17
BOSNWS,1919,10,4.63
BOSNWS,1919,11,0.99
BOSNWS,1919,12,8.11
BOSNWS,1920,1,2.11
BOSNWS,1920,2,5.93
BOSNWS,1920,3,8.83
BOSNWS,1920,4,2.5
BOSNWS,1920,5,3.72
BOSNWS,1920,6,0.67
BOSNWS,1920,7,4.79
BOSNWS,1920,8,3.78
BOSNWS,1920,9,5.16
BOSNWS,1920,10,2.04
BOSNWS,1920,11,3.59
BOSNWS,1920,12,6.13
BOSNWS,1921,1,4.07
BOSNWS,1921,2,
BOSNWS,1921,3,4.22
BOSNWS,1921,4,1.83
BOSNWS,1921,5,9.84
BOSNWS,1921,6,6.61
BOSNWS,1921,7,3.86
BOSNWS,1921,8,2.15
BOSNWS,1921,9,2.93
BOSNWS,1921,10,5.77
BOSNWS,1921,11,2.02
BOSNWS,1921,12,2.82
BOSNWS,1922,1,2.58
BOSNWS,1922,2,4.46
BOSNWS,1922,3,7.3
BOSNWS,1922,4,2.22
BOSNWS,1922,5,3.57
BOSNWS,1922,6,4.03
BOSNWS,1922,7,0.86
BOSNWS,1922,8,7.9
BOSNWS,1922,9,5.48
BOSNWS,1922,10,5.67
BOSNWS,1922,11,5.5
BOSNWS,1922,12,4.68
BOSNWS,1923,1,4.48
BOSNWS,1923,2,3.85
BOSNWS,1923,3,
BOSNWS,1923,4,3.34
BOSNWS,1923,5,3.2
BOSNWS,1923,6,0.75
BOSNWS,1923,7,2.41
BOSNWS,1923,8,1.25
BOSNWS,1923,9,11.06
BOSNWS,1923,10,4.33
BOSNWS,1923,11,3.42
BOSNWS,1923,12,6.84
BOSNWS,1924,1,2.41
BOSNWS,1924,2,3.4
BOSNWS,1924,3,0.08
BOSNWS,1924,4,4.73
BOSNWS,1924,5,2.63
BOSNWS,1924,6,4.25
BOSNWS,1924,7,2.09
BOSNWS,1924,8,2.34
BOSNWS,1924,9,3.46
BOSNWS,1924,10,
BOSNWS,1924,11,4.25
BOSNWS,1924,12,
BOSNWS,1925,1,4.78
BOSNWS,1925,2,2.27
BOSNWS,1925,3,5.48
BOSNWS,1925,4,2.69
BOSNWS,1925,5,0.85
BOSNWS,1925,6,5.04
BOSNWS,1925,7,2.52
BOSNWS,1925,8,4.57
BOSNWS,1925,9,3.47
BOSNWS,1925,10,6.11
BOSNWS,1925,11,1.17
